"Account","Flag","Check Number","Date","Payee","Category","Master Category","Sub Category","Memo","Outflow","Inflow","Cleared","Running Balance"
"Checking Account",,,06/08/2012,"Starting Balance","Income: Available this month","Income","Available this month",,$0.00,$7091.78,R,$7091.78
"Checking Account",,,06/08/2012,"You need a budget, android","Communication: Software","Communication","Software","DBT CRD 0354 06/09/12 00019491",$4.99,$0.00,R,$7086.79
"Checking Account",,,06/08/2012,"You need a budget","Communication: Software","Communication","Software","POS DEB 1719 06/08/12 00257290",$60.00,$0.00,R,$7026.79
"Checking Account",,0608120001,06/08/2012,"Transfer : Shared Account",,,,,$2000.00,$0.00,R,$5026.79
"Checking Account",,,06/09/2012,"VESTA   T MOBILE","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services",,$23.52,$0.00,R,$5003.27
"Checking Account",,,06/11/2012,"GRISTMAG","Generosity: Charity","Generosity","Charity","DBT CRD 1951 06/10/12 00024943",$5.00,$0.00,R,$4998.27
"Checking Account",,,06/13/2012,"bikelock","Transport: Bicycle","Transport","Bicycle","DBT CRD 1913 06/14/12 00017739",$71.88,$0.00,R,$4926.39
"Checking Account",,,06/14/2012,"CREDIT Expenses","Income: Available next month","Income","Available next month","SEFAIRA INC       120614  PPD",$0.00,$10.00,R,$4936.39
"Checking Account",,,06/15/2012,"SFI*PHOTOSBYSHUTTERFLY","Generosity: Spontanous Gifts","Generosity","Spontanous Gifts","DBT CRD 2237 06/14/12 00022845",$4.89,$0.00,R,$4931.50
"Checking Account",,,06/17/2012,"Danny's poster","Generosity: Spontanous Gifts","Generosity","Spontanous Gifts",,$22.46,$0.00,R,$4909.04
"Checking Account",,1217200189,06/18/2012,"Transfer : Chase Credit Card",,,,,$339.30,$0.00,R,$4569.74
"Checking Account",,,06/20/2012,"Interest Deposit","Income: Available next month","Income","Available next month",,$0.00,$8.48,R,$4578.22
"Checking Account",,,06/21/2012,"CREDIT PAY","Income: Available next month","Income","Available next month","Payroll           Jun 21  PPD",$0.00,$2690.51,R,$7268.73
"Checking Account",,,06/22/2012,"PAYPAL *DNREGIS","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services","POS DEB 2251 06/21/12 00710328",$2.98,$0.00,R,$7265.75
"Checking Account",,,06/22/2012,"Btguard","Communication: Cellphones & Online Services","Communication","Cellphones & Online Services",,$6.95,$0.00,R,$7258.80
